# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_horizon_v2_re
# Exported by: Sonoran Warrior
setting:	replacespawns 1
weapon_mor_ka47	-1376.527588 -187.616852 1.427563	-0.608 -24.584 -84.111
weapon_mor_ka47	-1101.324585 951.875854 -366.543060	-0.671 -23.000 -84.563
weapon_mor_ka47	4067.812744 111.923775 -126.547058	-0.663 -23.000 -84.502
weapon_mor_ka47	3172.653320 655.817810 -126.538887	-0.680 -23.000 -84.628
weapon_mor_sc7	-1660.056030 237.493729 1.301019	0.280 -4.823 87.241
need_piss	4853.482910 305.902466 -525.718933	-0.166 -0.034 0.098
need_piss	4954.189453 305.899872 -525.798279	-0.018 -0.009 0.019
need_piss	4962.603027 14.111350 -525.706482	-0.087 0.039 -0.044
need_piss	4855.958496 15.753945 -525.834229	-0.022 -0.001 -0.016
mor_random_ammo	-1227.550903 465.682281 -582.598694	73.325 -179.222 175.366
mor_random_ammo	-896.640381 768.304871 -607.622498	0.020 0.157 0.139
mor_random_ammo	-929.369873 -126.687424 -735.648743	0.053 0.000 -0.011
mor_random_ammo	-936.919189 -132.707062 -735.650940	0.051 0.000 -0.014
mor_random_ammo	-946.841003 -139.327942 -735.655334	0.049 0.000 -0.019
mor_random_ammo	-977.901550 -146.641998 -735.627197	0.111 0.000 0.071
mor_random_ammo	-2181.373047 606.529480 -511.650940	0.051 -0.000 0.014
mor_random_ammo	-2168.359863 608.768616 -511.662323	0.047 -0.000 0.025
mor_random_ammo	-2163.046387 595.367371 -511.642487	0.060 -0.000 -0.001
mor_random_ammo	-2057.978271 594.696472 -511.644562	0.057 0.000 -0.004
mor_random_ammo	-2053.200684 605.216125 -511.632690	0.084 0.000 0.036
mor_random_ammo	-2036.983032 596.675659 -511.554077	1.074 0.028 1.302
mor_random_ammo	-359.661713 524.990417 -703.622131	0.153 0.001 0.125
mor_random_ammo	-338.237762 524.730408 -703.628967	0.100 0.000 0.057
mor_random_ammo	-325.404266 525.699341 -703.662354	0.047 0.000 -0.025
mor_random_ammo	730.924622 -191.478256 -703.616028	0.243 0.001 0.238
mor_random_ammo	705.274414 -188.013779 -703.640442	0.063 0.000 0.006
mor_random_ammo	698.556213 -192.734879 -703.655396	0.049 0.000 -0.019
mor_random_ammo	720.763123 506.691467 -703.587769	1.662 0.034 2.001
mor_random_ammo	683.944397 490.084351 -703.638428	0.067 0.000 0.012
mor_random_ammo	657.028076 486.407959 -703.677246	0.047 0.000 -0.033
mor_random_ammo	-944.342834 926.236206 16.392897	0.728 0.007 0.832
mor_random_ammo	-957.874146 931.741638 16.349041	0.051 0.000 -0.014
mor_random_ammo	-972.343262 924.891663 16.353348	0.055 0.000 -0.007
mor_random_ammo	-214.335083 786.153687 64.362610	-0.068 -0.000 0.013
mor_random_ammo	-198.198120 785.374207 64.331100	-0.047 -0.000 -0.029
mor_random_ammo	-185.826675 788.008057 64.366653	-0.078 -0.000 0.027
mor_random_ammo	-177.620880 788.760071 64.326057	-0.047 -0.000 -0.032
mor_random_ammo	223.983047 782.481445 64.340744	-0.047 -0.000 -0.023
mor_random_ammo	183.642151 774.284912 64.391708	-0.322 -0.002 0.334
mor_random_ammo	164.469147 777.027893 64.364639	-0.072 -0.000 0.019
mor_random_ammo	-638.942505 -69.671257 104.332848	0.047 -0.000 0.028
mor_random_ammo	-637.947693 -59.683895 104.357513	0.060 0.000 0.001
