# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_lorica_v1
# Exported by: Kitty Supreme
setting:	replacespawns 1
weapon_mor_sc7	-514.776672 -2260.905762 97.317825	0.125 -4.842 87.498
weapon_mor_sc7	-508.832764 -2244.613037 97.296837	0.318 -4.823 87.176
weapon_mor_sc7	82.103920 -3654.662354 90.370026	-0.062 -5.641 88.008
weapon_mor_sc7	-687.726685 -676.319824 41.305592	0.238 -4.823 87.311
weapon_mor_sc7	-931.024963 66.840729 100.295128	0.334 -4.824 87.150
weapon_mor_sc7	-1056.680908 231.068146 -830.705994	0.345 -4.823 87.132
need_piss	-370.891846 -13.610048 111.944756	-0.000 89.434 -90.016
need_piss	-371.420013 -79.865433 111.947815	-0.000 91.679 -90.006
need_piss	-372.142487 -149.059723 111.908432	0.038 89.979 -89.964
need_piss	-370.059174 -217.267273 111.824547	-0.001 89.340 -90.117
need_piss	-1189.832031 -14.293596 111.866631	-0.141 -89.091 -90.053
need_piss	-1189.960205 -217.881241 111.914513	0.000 -90.000 -90.113
need_piss	-1189.937622 -149.546753 111.900154	0.000 -90.000 -90.159
need_piss	-1188.650879 -80.288406 111.887695	-0.028 -91.247 -89.987
mor_random_ammo	-335.332306 -973.448059 -831.549255	-1.501 -0.034 1.822
mor_random_ammo	-314.507385 -974.449585 -831.610229	-0.278 -0.001 0.281
mor_random_ammo	-324.740814 -981.001282 -831.654602	-0.049 -0.000 -0.019
mor_random_ammo	-1117.449585 -1410.571533 -831.543213	-1.312 -0.032 1.593
mor_random_ammo	-1106.193481 -1422.186523 -831.646606	0.055 0.000 -0.007
mor_random_ammo	-1110.678345 -1400.640015 -831.614014	-0.222 -0.001 0.211
mor_random_ammo	-444.611145 -2324.825439 -831.553040	1.045 -0.027 -1.269
mor_random_ammo	-465.616425 -2302.174072 -831.575500	1.523 -0.036 -1.849
mor_random_ammo	-477.511627 -2316.748535 -831.627258	0.110 -0.000 -0.070
mor_random_ammo	-1163.604736 -2604.810791 -831.557251	1.140 0.029 1.382
mor_random_ammo	-1134.939819 -2613.904297 -831.605896	0.965 0.012 1.121
mor_random_ammo	-1127.466553 -2598.451172 -831.628967	0.099 0.000 0.056
mor_random_ammo	123.462532 -2374.865723 -760.608704	0.543 0.004 0.606
mor_random_ammo	97.753853 -2381.094482 -760.628967	0.100 0.000 0.057
mor_random_ammo	116.024055 -2396.335938 -760.650940	0.051 0.000 -0.014
mor_random_ammo	-524.737549 -2769.593262 -760.679871	0.047 0.000 -0.034
mor_random_ammo	-531.139099 -2748.697510 -760.553101	1.001 0.026 1.208
mor_random_ammo	-597.143738 -3085.652344 64.391220	0.548 0.004 0.612
mor_random_ammo	-586.687927 -3091.903564 64.327858	0.047 0.000 -0.031
mor_random_ammo	-567.394043 -3079.003906 64.361542	0.067 0.000 0.012
mor_random_ammo	-595.135864 -3064.744873 64.369164	0.092 0.000 0.046
