# morbus weapon/ammo placement overrides - Thank TTT for this lua code
# For map: mor_surface_v2
# Exported by: Danny Judas
setting:	replacespawns 1
need_piss	-120.095856 -3011.016602 274.530762	-0.067 -0.043 0.058
need_piss	-120.221977 -2914.531494 274.275604	0.043 1.944 0.000
need_piss	-120.671471 -2818.702637 274.268158	0.018 1.019 -0.040
need_piss	-120.082794 -2723.341553 274.215240	-0.276 1.011 -0.001
need_piss	-120.166939 -2626.798340 274.293549	-0.000 -0.100 -0.000
need_piss	-325.394135 -3024.080566 274.287079	-0.004 0.013 -0.005
need_piss	-325.311493 -2928.846436 274.278351	-0.026 0.012 -0.005
need_piss	-325.339172 -2833.576660 274.282715	0.006 0.006 -0.007
need_piss	-325.359589 -2738.223877 274.293549	-0.027 -0.112 -0.013
need_piss	-325.346985 -2642.900391 274.276245	-0.010 -0.142 0.018
mor_random_ammo	299.240173 -3054.090820 256.379333	0.166 -0.001 -0.142
mor_random_ammo	298.717804 -3039.688965 256.380981	0.192 0.001 0.174
mor_random_ammo	299.077576 -3027.603516 256.365417	0.077 0.000 0.026
mor_random_ammo	1356.825806 -2724.657959 256.359558	0.063 0.000 0.006
mor_random_ammo	1375.050049 -2724.653564 256.379425	0.172 0.001 0.148
mor_random_ammo	1373.038574 -2738.901611 256.383942	0.248 0.001 0.243
mor_random_ammo	1247.824219 -2273.041992 400.326050	-0.047 -0.000 -0.032
mor_random_ammo	1246.828003 -2463.918701 400.342316	0.048 0.000 -0.021
mor_random_ammo	928.323608 -2367.676758 256.335266	0.047 0.000 -0.027
mor_random_ammo	921.586731 -2135.240479 256.355438	0.057 -0.000 0.004
mor_random_ammo	921.159912 -2122.324707 256.365417	0.078 0.000 0.027
mor_random_ammo	809.636597 -1732.906494 256.349030	0.051 0.000 -0.014
mor_random_ammo	820.157593 -1717.806641 256.433868	1.276 0.031 1.541
mor_random_ammo	831.221252 -1732.054077 256.346832	0.050 0.000 -0.017
mor_random_ammo	925.692505 -900.924377 219.207840	4.706 -153.101 -90.749
mor_random_ammo	932.716736 -923.052368 219.028763	4.134 80.343 89.431
mor_random_ammo	920.946777 -938.266602 219.065201	0.084 -166.407 -89.743
mor_random_ammo	929.375122 -1244.995605 219.291641	5.928 77.111 90.171
mor_random_ammo	950.132751 -1262.717285 220.282501	-8.698 -172.445 96.425
mor_random_ammo	950.385620 -1266.904053 220.387283	-2.271 -8.845 96.751
mor_random_ammo	596.937134 -742.892822 256.450714	0.984 0.026 1.194
mor_random_ammo	615.342896 -743.129578 256.393402	1.110 -0.015 -1.296
mor_random_ammo	2234.992920 351.590271 256.323486	-0.047 -0.000 -0.033
mor_random_ammo	2232.889648 333.271576 256.352051	-0.053 -0.000 -0.011
mor_random_ammo	2232.303223 318.238647 256.384033	-0.196 -0.001 0.178
mor_random_ammo	2001.148071 -910.073792 256.355377	0.054 0.000 -0.004
mor_random_ammo	2011.635132 -924.892517 256.348969	0.049 0.000 -0.014
mor_random_ammo	2023.659790 -939.771606 256.367279	0.079 0.000 0.032
mor_random_ammo	3414.199951 873.061523 296.434113	1.351 0.033 1.641
mor_random_ammo	3433.038818 861.582581 296.433594	1.298 0.032 1.570
mor_random_ammo	3420.088867 854.466431 296.363495	0.072 0.000 0.019
mor_random_ammo	4509.915039 148.160568 296.374481	-0.111 -0.000 0.071
mor_random_ammo	4522.610840 165.735123 296.376190	0.135 0.000 0.101
mor_random_ammo	4505.661133 168.915192 296.445984	-1.557 -0.040 1.884
mor_random_ammo	4333.974121 -984.787720 256.332825	0.047 0.000 -0.028
mor_random_ammo	4332.867188 -1005.148865 256.344604	0.049 0.000 -0.019
mor_random_ammo	4325.862305 -997.059509 256.376190	0.134 0.000 0.101
mor_random_ammo	4511.993164 -2497.316895 256.424927	1.546 0.037 1.877
mor_random_ammo	4512.217773 -2462.597656 256.360443	-0.124 -0.090 0.021
mor_random_ammo	4511.630371 -2432.018066 256.337646	0.047 0.000 -0.025
mor_random_ammo	4515.112793 -3566.288574 256.318207	-0.047 -0.000 -0.035
mor_random_ammo	4496.276367 -3567.073975 256.347595	-0.050 -0.000 -0.017
mor_random_ammo	4494.745117 -3545.526367 256.451874	-1.334 -0.033 1.611
mor_random_ammo	3824.117676 -3359.686768 256.365417	0.076 0.000 0.025
mor_random_ammo	3799.772949 -3361.590820 256.424286	1.486 0.034 1.796
mor_random_ammo	3822.733643 -3384.345703 256.363495	0.071 0.000 0.018
mor_random_ammo	3412.061768 -4701.867188 256.385345	0.278 0.001 0.281
mor_random_ammo	3419.526855 -4515.118164 256.346832	0.050 0.000 -0.017
mor_random_ammo	2623.346191 -4415.837402 256.372742	0.110 0.000 0.070
mor_random_ammo	2623.822266 -4031.542969 256.394623	1.283 0.020 1.507
mor_random_ammo	2890.849854 -2830.180664 292.453400	-1.487 -0.035 1.811
mor_random_ammo	2868.242920 -2833.308838 292.360565	-0.064 -0.000 0.007
mor_random_ammo	2840.964355 -2831.811768 292.318207	-0.047 -0.000 -0.035
mor_random_ammo	2996.647461 -2831.300781 292.340729	-0.047 -0.000 -0.023
mor_random_ammo	3030.280518 -2831.158203 292.458496	-1.232 -0.030 1.495
mor_random_ammo	3055.864014 -2832.817627 292.358459	-0.060 0.000 -0.001
mor_random_ammo	3051.231445 -2881.985840 292.335999	-0.047 0.000 0.027
mor_random_ammo	3017.536377 -2881.775146 292.345367	-0.049 -0.000 -0.019
mor_random_ammo	2990.702148 -2880.495117 292.352051	-0.053 -0.000 -0.011
mor_random_ammo	2892.530273 -2880.794434 292.471832	-0.756 -0.023 0.916
mor_random_ammo	2860.160889 -2879.472900 292.364624	-0.072 -0.000 0.019
mor_random_ammo	2838.425293 -2878.687500 292.323486	-0.047 -0.000 -0.033
mor_random_ammo	2834.752686 -3006.385742 292.349854	-0.051 -0.000 -0.014
mor_random_ammo	2866.125244 -3009.334961 292.352051	-0.053 -0.000 -0.011
